,Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
7506,All Killed and Injured Casualties,2009,0 - 5 years,Male,Pedal cyclists,Number,2
7507,All Killed and Injured Casualties,2009,0 - 5 years,Male,Motor cyclists,Number,0
7508,All Killed and Injured Casualties,2009,0 - 5 years,Male,All Car users,Number,87
7509,All Killed and Injured Casualties,2009,0 - 5 years,Male,Car drivers,Number,0
7510,All Killed and Injured Casualties,2009,0 - 5 years,Male,Car passengers,Number,87
7511,All Killed and Injured Casualties,2009,0 - 5 years,Male,Other road users,Number,2
7513,All Killed and Injured Casualties,2009,0 - 5 years,Female,Pedestrians,Number,24
7514,All Killed and Injured Casualties,2009,0 - 5 years,Female,Pedal cyclists,Number,1
7515,All Killed and Injured Casualties,2009,0 - 5 years,Female,Motor cyclists,Number,0
7516,All Killed and Injured Casualties,2009,0 - 5 years,Female,All Car users,Number,100
7517,All Killed and Injured Casualties,2009,0 - 5 years,Female,Car drivers,Number,0
7518,All Killed and Injured Casualties,2009,0 - 5 years,Female,Car passengers,Number,100
7519,All Killed and Injured Casualties,2009,0 - 5 years,Female,Other road users,Number,1
7521,All Killed and Injured Casualties,2009,6 - 9 years,Male,Pedestrians,Number,49
7522,All Killed and Injured Casualties,2009,6 - 9 years,Male,Pedal cyclists,Number,4
7523,All Killed and Injured Casualties,2009,6 - 9 years,Male,Motor cyclists,Number,1
7524,All Killed and Injured Casualties,2009,6 - 9 years,Male,All Car users,Number,71
7525,All Killed and Injured Casualties,2009,6 - 9 years,Male,Car drivers,Number,0
7526,All Killed and Injured Casualties,2009,6 - 9 years,Male,Car passengers,Number,71
7527,All Killed and Injured Casualties,2009,6 - 9 years,Male,Other road users,Number,3
7529,All Killed and Injured Casualties,2009,6 - 9 years,Female,Pedestrians,Number,28
7530,All Killed and Injured Casualties,2009,6 - 9 years,Female,Pedal cyclists,Number,5
7531,All Killed and Injured Casualties,2009,6 - 9 years,Female,Motor cyclists,Number,0
7532,All Killed and Injured Casualties,2009,6 - 9 years,Female,All Car users,Number,65
7533,All Killed and Injured Casualties,2009,6 - 9 years,Female,Car drivers,Number,0
7534,All Killed and Injured Casualties,2009,6 - 9 years,Female,Car passengers,Number,65
7535,All Killed and Injured Casualties,2009,6 - 9 years,Female,Other road users,Number,5
7537,All Killed and Injured Casualties,2009,10 - 14 years,Male,Pedestrians,Number,58
7538,All Killed and Injured Casualties,2009,10 - 14 years,Male,Pedal cyclists,Number,31
7539,All Killed and Injured Casualties,2009,10 - 14 years,Male,Motor cyclists,Number,2
7540,All Killed and Injured Casualties,2009,10 - 14 years,Male,All Car users,Number,78
7541,All Killed and Injured Casualties,2009,10 - 14 years,Male,Car drivers,Number,3
7542,All Killed and Injured Casualties,2009,10 - 14 years,Male,Car passengers,Number,75
7543,All Killed and Injured Casualties,2009,10 - 14 years,Male,Other road users,Number,11
7545,All Killed and Injured Casualties,2009,10 - 14 years,Female,Pedestrians,Number,45
7546,All Killed and Injured Casualties,2009,10 - 14 years,Female,Pedal cyclists,Number,5
7547,All Killed and Injured Casualties,2009,10 - 14 years,Female,Motor cyclists,Number,0
7548,All Killed and Injured Casualties,2009,10 - 14 years,Female,All Car users,Number,94
7549,All Killed and Injured Casualties,2009,10 - 14 years,Female,Car drivers,Number,1
7550,All Killed and Injured Casualties,2009,10 - 14 years,Female,Car passengers,Number,93
7551,All Killed and Injured Casualties,2009,10 - 14 years,Female,Other road users,Number,4
7553,All Killed and Injured Casualties,2009,15 - 17 years,Male,Pedestrians,Number,26
7554,All Killed and Injured Casualties,2009,15 - 17 years,Male,Pedal cyclists,Number,26
7555,All Killed and Injured Casualties,2009,15 - 17 years,Male,Motor cyclists,Number,18
7556,All Killed and Injured Casualties,2009,15 - 17 years,Male,All Car users,Number,174
7557,All Killed and Injured Casualties,2009,15 - 17 years,Male,Car drivers,Number,52
7558,All Killed and Injured Casualties,2009,15 - 17 years,Male,Car passengers,Number,122
7559,All Killed and Injured Casualties,2009,15 - 17 years,Male,Other road users,Number,18
7561,All Killed and Injured Casualties,2009,15 - 17 years,Female,Pedestrians,Number,43
7562,All Killed and Injured Casualties,2009,15 - 17 years,Female,Pedal cyclists,Number,2
7563,All Killed and Injured Casualties,2009,15 - 17 years,Female,Motor cyclists,Number,4
7564,All Killed and Injured Casualties,2009,15 - 17 years,Female,All Car users,Number,121
7565,All Killed and Injured Casualties,2009,15 - 17 years,Female,Car drivers,Number,18
7566,All Killed and Injured Casualties,2009,15 - 17 years,Female,Car passengers,Number,103
7567,All Killed and Injured Casualties,2009,15 - 17 years,Female,Other road users,Number,1
7569,All Killed and Injured Casualties,2009,18 - 20 years,Male,Pedestrians,Number,42
7570,All Killed and Injured Casualties,2009,18 - 20 years,Male,Pedal cyclists,Number,11
7571,All Killed and Injured Casualties,2009,18 - 20 years,Male,Motor cyclists,Number,20
7572,All Killed and Injured Casualties,2009,18 - 20 years,Male,All Car users,Number,510
7573,All Killed and Injured Casualties,2009,18 - 20 years,Male,Car drivers,Number,272
7574,All Killed and Injured Casualties,2009,18 - 20 years,Male,Car passengers,Number,238
7575,All Killed and Injured Casualties,2009,18 - 20 years,Male,Other road users,Number,46
7577,All Killed and Injured Casualties,2009,18 - 20 years,Female,Pedestrians,Number,34
7578,All Killed and Injured Casualties,2009,18 - 20 years,Female,Pedal cyclists,Number,1
7579,All Killed and Injured Casualties,2009,18 - 20 years,Female,Motor cyclists,Number,2
7580,All Killed and Injured Casualties,2009,18 - 20 years,Female,All Car users,Number,337
7581,All Killed and Injured Casualties,2009,18 - 20 years,Female,Car drivers,Number,164
7582,All Killed and Injured Casualties,2009,18 - 20 years,Female,Car passengers,Number,173
7583,All Killed and Injured Casualties,2009,18 - 20 years,Female,Other road users,Number,10
7585,All Killed and Injured Casualties,2009,21 - 24 years,Male,Pedestrians,Number,59
7586,All Killed and Injured Casualties,2009,21 - 24 years,Male,Pedal cyclists,Number,20
7587,All Killed and Injured Casualties,2009,21 - 24 years,Male,Motor cyclists,Number,52
7588,All Killed and Injured Casualties,2009,21 - 24 years,Male,All Car users,Number,474
7589,All Killed and Injured Casualties,2009,21 - 24 years,Male,Car drivers,Number,270
7590,All Killed and Injured Casualties,2009,21 - 24 years,Male,Car passengers,Number,204
7591,All Killed and Injured Casualties,2009,21 - 24 years,Male,Other road users,Number,62
7593,All Killed and Injured Casualties,2009,21 - 24 years,Female,Pedestrians,Number,27
7594,All Killed and Injured Casualties,2009,21 - 24 years,Female,Pedal cyclists,Number,8
7595,All Killed and Injured Casualties,2009,21 - 24 years,Female,Motor cyclists,Number,3
7596,All Killed and Injured Casualties,2009,21 - 24 years,Female,All Car users,Number,402
7597,All Killed and Injured Casualties,2009,21 - 24 years,Female,Car drivers,Number,231
7598,All Killed and Injured Casualties,2009,21 - 24 years,Female,Car passengers,Number,171
7599,All Killed and Injured Casualties,2009,21 - 24 years,Female,Other road users,Number,16
7601,All Killed and Injured Casualties,2009,25 - 34 years,Male,Pedestrians,Number,85
7602,All Killed and Injured Casualties,2009,25 - 34 years,Male,Pedal cyclists,Number,62
7603,All Killed and Injured Casualties,2009,25 - 34 years,Male,Motor cyclists,Number,136
7604,All Killed and Injured Casualties,2009,25 - 34 years,Male,All Car users,Number,836
7605,All Killed and Injured Casualties,2009,25 - 34 years,Male,Car drivers,Number,579
7606,All Killed and Injured Casualties,2009,25 - 34 years,Male,Car passengers,Number,257
7607,All Killed and Injured Casualties,2009,25 - 34 years,Male,Other road users,Number,129
7609,All Killed and Injured Casualties,2009,25 - 34 years,Female,Pedestrians,Number,74
7610,All Killed and Injured Casualties,2009,25 - 34 years,Female,Pedal cyclists,Number,30
7611,All Killed and Injured Casualties,2009,25 - 34 years,Female,Motor cyclists,Number,6
7612,All Killed and Injured Casualties,2009,25 - 34 years,Female,All Car users,Number,753
7613,All Killed and Injured Casualties,2009,25 - 34 years,Female,Car drivers,Number,546
7614,All Killed and Injured Casualties,2009,25 - 34 years,Female,Car passengers,Number,207
7615,All Killed and Injured Casualties,2009,25 - 34 years,Female,Other road users,Number,20
7617,All Killed and Injured Casualties,2009,35 - 44 years,Male,Pedestrians,Number,57
7618,All Killed and Injured Casualties,2009,35 - 44 years,Male,Pedal cyclists,Number,53
7619,All Killed and Injured Casualties,2009,35 - 44 years,Male,Motor cyclists,Number,100
7620,All Killed and Injured Casualties,2009,35 - 44 years,Male,All Car users,Number,488
7621,All Killed and Injured Casualties,2009,35 - 44 years,Male,Car drivers,Number,395
7622,All Killed and Injured Casualties,2009,35 - 44 years,Male,Car passengers,Number,93
7623,All Killed and Injured Casualties,2009,35 - 44 years,Male,Other road users,Number,144
7625,All Killed and Injured Casualties,2009,35 - 44 years,Female,Pedestrians,Number,36
7626,All Killed and Injured Casualties,2009,35 - 44 years,Female,Pedal cyclists,Number,14
7627,All Killed and Injured Casualties,2009,35 - 44 years,Female,Motor cyclists,Number,6
7628,All Killed and Injured Casualties,2009,35 - 44 years,Female,All Car users,Number,525
7629,All Killed and Injured Casualties,2009,35 - 44 years,Female,Car drivers,Number,376
7630,All Killed and Injured Casualties,2009,35 - 44 years,Female,Car passengers,Number,149
7631,All Killed and Injured Casualties,2009,35 - 44 years,Female,Other road users,Number,17
7633,All Killed and Injured Casualties,2009,45 - 54 years,Male,Pedestrians,Number,69
7634,All Killed and Injured Casualties,2009,45 - 54 years,Male,Pedal cyclists,Number,36
7635,All Killed and Injured Casualties,2009,45 - 54 years,Male,Motor cyclists,Number,49
7636,All Killed and Injured Casualties,2009,45 - 54 years,Male,All Car users,Number,292
7637,All Killed and Injured Casualties,2009,45 - 54 years,Male,Car drivers,Number,229
7638,All Killed and Injured Casualties,2009,45 - 54 years,Male,Car passengers,Number,63
7639,All Killed and Injured Casualties,2009,45 - 54 years,Male,Other road users,Number,72
7641,All Killed and Injured Casualties,2009,45 - 54 years,Female,Pedestrians,Number,35
7642,All Killed and Injured Casualties,2009,45 - 54 years,Female,Pedal cyclists,Number,3
7643,All Killed and Injured Casualties,2009,45 - 54 years,Female,Motor cyclists,Number,6
7644,All Killed and Injured Casualties,2009,45 - 54 years,Female,All Car users,Number,382
7645,All Killed and Injured Casualties,2009,45 - 54 years,Female,Car drivers,Number,267
7646,All Killed and Injured Casualties,2009,45 - 54 years,Female,Car passengers,Number,115
7647,All Killed and Injured Casualties,2009,45 - 54 years,Female,Other road users,Number,20
7649,All Killed and Injured Casualties,2009,55 - 64 years,Male,Pedestrians,Number,55
7650,All Killed and Injured Casualties,2009,55 - 64 years,Male,Pedal cyclists,Number,23
7651,All Killed and Injured Casualties,2009,55 - 64 years,Male,Motor cyclists,Number,15
7652,All Killed and Injured Casualties,2009,55 - 64 years,Male,All Car users,Number,202
7653,All Killed and Injured Casualties,2009,55 - 64 years,Male,Car drivers,Number,166
7654,All Killed and Injured Casualties,2009,55 - 64 years,Male,Car passengers,Number,36
7655,All Killed and Injured Casualties,2009,55 - 64 years,Male,Other road users,Number,43
7657,All Killed and Injured Casualties,2009,55 - 64 years,Female,Pedestrians,Number,33
7658,All Killed and Injured Casualties,2009,55 - 64 years,Female,Pedal cyclists,Number,7
7659,All Killed and Injured Casualties,2009,55 - 64 years,Female,Motor cyclists,Number,2
7660,All Killed and Injured Casualties,2009,55 - 64 years,Female,All Car users,Number,238
7661,All Killed and Injured Casualties,2009,55 - 64 years,Female,Car drivers,Number,148
7662,All Killed and Injured Casualties,2009,55 - 64 years,Female,Car passengers,Number,90
7663,All Killed and Injured Casualties,2009,55 - 64 years,Female,Other road users,Number,14
7665,All Killed and Injured Casualties,2009,65 years and over,Male,Pedestrians,Number,67
7666,All Killed and Injured Casualties,2009,65 years and over,Male,Pedal cyclists,Number,10
7667,All Killed and Injured Casualties,2009,65 years and over,Male,Motor cyclists,Number,6
7668,All Killed and Injured Casualties,2009,65 years and over,Male,All Car users,Number,207
7669,All Killed and Injured Casualties,2009,65 years and over,Male,Car drivers,Number,176
7670,All Killed and Injured Casualties,2009,65 years and over,Male,Car passengers,Number,31
7671,All Killed and Injured Casualties,2009,65 years and over,Male,Other road users,Number,28
7673,All Killed and Injured Casualties,2009,65 years and over,Female,Pedestrians,Number,80
7674,All Killed and Injured Casualties,2009,65 years and over,Female,Pedal cyclists,Number,1
7675,All Killed and Injured Casualties,2009,65 years and over,Female,Motor cyclists,Number,0
7676,All Killed and Injured Casualties,2009,65 years and over,Female,All Car users,Number,236
7677,All Killed and Injured Casualties,2009,65 years and over,Female,Car drivers,Number,132
7678,All Killed and Injured Casualties,2009,65 years and over,Female,Car passengers,Number,104
7679,All Killed and Injured Casualties,2009,65 years and over,Female,Other road users,Number,8
7713,All Killed and Injured Casualties,2010,0 - 5 years,Male,Pedestrians,Number,44
7714,All Killed and Injured Casualties,2010,0 - 5 years,Male,Pedal cyclists,Number,5
7715,All Killed and Injured Casualties,2010,0 - 5 years,Male,Motor cyclists,Number,0
7716,All Killed and Injured Casualties,2010,0 - 5 years,Male,All Car users,Number,68
7717,All Killed and Injured Casualties,2010,0 - 5 years,Male,Car drivers,Number,0
7718,All Killed and Injured Casualties,2010,0 - 5 years,Male,Car passengers,Number,68
7719,All Killed and Injured Casualties,2010,0 - 5 years,Male,Other road users,Number,7
7721,All Killed and Injured Casualties,2010,0 - 5 years,Female,Pedestrians,Number,29
7722,All Killed and Injured Casualties,2010,0 - 5 years,Female,Pedal cyclists,Number,3
7723,All Killed and Injured Casualties,2010,0 - 5 years,Female,Motor cyclists,Number,0
7724,All Killed and Injured Casualties,2010,0 - 5 years,Female,All Car users,Number,75
7725,All Killed and Injured Casualties,2010,0 - 5 years,Female,Car drivers,Number,0
7726,All Killed and Injured Casualties,2010,0 - 5 years,Female,Car passengers,Number,75
7727,All Killed and Injured Casualties,2010,0 - 5 years,Female,Other road users,Number,2
7729,All Killed and Injured Casualties,2010,6 - 9 years,Male,Pedestrians,Number,48
7730,All Killed and Injured Casualties,2010,6 - 9 years,Male,Pedal cyclists,Number,9
7731,All Killed and Injured Casualties,2010,6 - 9 years,Male,Motor cyclists,Number,0
7732,All Killed and Injured Casualties,2010,6 - 9 years,Male,All Car users,Number,48
7733,All Killed and Injured Casualties,2010,6 - 9 years,Male,Car drivers,Number,0
7734,All Killed and Injured Casualties,2010,6 - 9 years,Male,Car passengers,Number,48
7735,All Killed and Injured Casualties,2010,6 - 9 years,Male,Other road users,Number,4
7737,All Killed and Injured Casualties,2010,6 - 9 years,Female,Pedestrians,Number,29
7738,All Killed and Injured Casualties,2010,6 - 9 years,Female,Pedal cyclists,Number,1
7739,All Killed and Injured Casualties,2010,6 - 9 years,Female,Motor cyclists,Number,0
7740,All Killed and Injured Casualties,2010,6 - 9 years,Female,All Car users,Number,51
7741,All Killed and Injured Casualties,2010,6 - 9 years,Female,Car drivers,Number,0
7742,All Killed and Injured Casualties,2010,6 - 9 years,Female,Car passengers,Number,51
7743,All Killed and Injured Casualties,2010,6 - 9 years,Female,Other road users,Number,1
7745,All Killed and Injured Casualties,2010,10 - 14 years,Male,Pedestrians,Number,53
7746,All Killed and Injured Casualties,2010,10 - 14 years,Male,Pedal cyclists,Number,28
7747,All Killed and Injured Casualties,2010,10 - 14 years,Male,Motor cyclists,Number,3
7748,All Killed and Injured Casualties,2010,10 - 14 years,Male,All Car users,Number,70
7749,All Killed and Injured Casualties,2010,10 - 14 years,Male,Car drivers,Number,1
7750,All Killed and Injured Casualties,2010,10 - 14 years,Male,Car passengers,Number,69
7751,All Killed and Injured Casualties,2010,10 - 14 years,Male,Other road users,Number,5
7753,All Killed and Injured Casualties,2010,10 - 14 years,Female,Pedestrians,Number,40
7754,All Killed and Injured Casualties,2010,10 - 14 years,Female,Pedal cyclists,Number,7
7755,All Killed and Injured Casualties,2010,10 - 14 years,Female,Motor cyclists,Number,0
7756,All Killed and Injured Casualties,2010,10 - 14 years,Female,All Car users,Number,71
7757,All Killed and Injured Casualties,2010,10 - 14 years,Female,Car drivers,Number,0
7758,All Killed and Injured Casualties,2010,10 - 14 years,Female,Car passengers,Number,71
7759,All Killed and Injured Casualties,2010,10 - 14 years,Female,Other road users,Number,3
7761,All Killed and Injured Casualties,2010,15 - 17 years,Male,Pedestrians,Number,26
7762,All Killed and Injured Casualties,2010,15 - 17 years,Male,Pedal cyclists,Number,14
7763,All Killed and Injured Casualties,2010,15 - 17 years,Male,Motor cyclists,Number,16
7764,All Killed and Injured Casualties,2010,15 - 17 years,Male,All Car users,Number,139
7765,All Killed and Injured Casualties,2010,15 - 17 years,Male,Car drivers,Number,47
7766,All Killed and Injured Casualties,2010,15 - 17 years,Male,Car passengers,Number,92
7767,All Killed and Injured Casualties,2010,15 - 17 years,Male,Other road users,Number,31
7769,All Killed and Injured Casualties,2010,15 - 17 years,Female,Pedestrians,Number,31
7770,All Killed and Injured Casualties,2010,15 - 17 years,Female,Pedal cyclists,Number,3
7771,All Killed and Injured Casualties,2010,15 - 17 years,Female,Motor cyclists,Number,1
7772,All Killed and Injured Casualties,2010,15 - 17 years,Female,All Car users,Number,106
7773,All Killed and Injured Casualties,2010,15 - 17 years,Female,Car drivers,Number,20
7774,All Killed and Injured Casualties,2010,15 - 17 years,Female,Car passengers,Number,86
7775,All Killed and Injured Casualties,2010,15 - 17 years,Female,Other road users,Number,7
7777,All Killed and Injured Casualties,2010,18 - 20 years,Male,Pedestrians,Number,32
7778,All Killed and Injured Casualties,2010,18 - 20 years,Male,Pedal cyclists,Number,6
7779,All Killed and Injured Casualties,2010,18 - 20 years,Male,Motor cyclists,Number,24
7780,All Killed and Injured Casualties,2010,18 - 20 years,Male,All Car users,Number,390
7781,All Killed and Injured Casualties,2010,18 - 20 years,Male,Car drivers,Number,203
7782,All Killed and Injured Casualties,2010,18 - 20 years,Male,Car passengers,Number,187
7783,All Killed and Injured Casualties,2010,18 - 20 years,Male,Other road users,Number,48
7785,All Killed and Injured Casualties,2010,18 - 20 years,Female,Pedestrians,Number,29
7786,All Killed and Injured Casualties,2010,18 - 20 years,Female,Pedal cyclists,Number,5
7787,All Killed and Injured Casualties,2010,18 - 20 years,Female,Motor cyclists,Number,2
7788,All Killed and Injured Casualties,2010,18 - 20 years,Female,All Car users,Number,294
7789,All Killed and Injured Casualties,2010,18 - 20 years,Female,Car drivers,Number,139
7790,All Killed and Injured Casualties,2010,18 - 20 years,Female,Car passengers,Number,155
7791,All Killed and Injured Casualties,2010,18 - 20 years,Female,Other road users,Number,13
7793,All Killed and Injured Casualties,2010,21 - 24 years,Male,Pedestrians,Number,44
7794,All Killed and Injured Casualties,2010,21 - 24 years,Male,Pedal cyclists,Number,14
7795,All Killed and Injured Casualties,2010,21 - 24 years,Male,Motor cyclists,Number,51
7796,All Killed and Injured Casualties,2010,21 - 24 years,Male,All Car users,Number,354
7797,All Killed and Injured Casualties,2010,21 - 24 years,Male,Car drivers,Number,205
7798,All Killed and Injured Casualties,2010,21 - 24 years,Male,Car passengers,Number,149
7799,All Killed and Injured Casualties,2010,21 - 24 years,Male,Other road users,Number,53
7801,All Killed and Injured Casualties,2010,21 - 24 years,Female,Pedestrians,Number,26
7802,All Killed and Injured Casualties,2010,21 - 24 years,Female,Pedal cyclists,Number,3
7803,All Killed and Injured Casualties,2010,21 - 24 years,Female,Motor cyclists,Number,3
7804,All Killed and Injured Casualties,2010,21 - 24 years,Female,All Car users,Number,307
7805,All Killed and Injured Casualties,2010,21 - 24 years,Female,Car drivers,Number,188
7806,All Killed and Injured Casualties,2010,21 - 24 years,Female,Car passengers,Number,119
7807,All Killed and Injured Casualties,2010,21 - 24 years,Female,Other road users,Number,16
7809,All Killed and Injured Casualties,2010,25 - 34 years,Male,Pedestrians,Number,87
7810,All Killed and Injured Casualties,2010,25 - 34 years,Male,Pedal cyclists,Number,68
7811,All Killed and Injured Casualties,2010,25 - 34 years,Male,Motor cyclists,Number,130
7812,All Killed and Injured Casualties,2010,25 - 34 years,Male,All Car users,Number,670
7813,All Killed and Injured Casualties,2010,25 - 34 years,Male,Car drivers,Number,462
7814,All Killed and Injured Casualties,2010,25 - 34 years,Male,Car passengers,Number,208
7815,All Killed and Injured Casualties,2010,25 - 34 years,Male,Other road users,Number,153
7817,All Killed and Injured Casualties,2010,25 - 34 years,Female,Pedestrians,Number,46
7818,All Killed and Injured Casualties,2010,25 - 34 years,Female,Pedal cyclists,Number,39
7819,All Killed and Injured Casualties,2010,25 - 34 years,Female,Motor cyclists,Number,12
7820,All Killed and Injured Casualties,2010,25 - 34 years,Female,All Car users,Number,672
7821,All Killed and Injured Casualties,2010,25 - 34 years,Female,Car drivers,Number,455
7822,All Killed and Injured Casualties,2010,25 - 34 years,Female,Car passengers,Number,217
7823,All Killed and Injured Casualties,2010,25 - 34 years,Female,Other road users,Number,27
7825,All Killed and Injured Casualties,2010,35 - 44 years,Male,Pedestrians,Number,61
7826,All Killed and Injured Casualties,2010,35 - 44 years,Male,Pedal cyclists,Number,54
7827,All Killed and Injured Casualties,2010,35 - 44 years,Male,Motor cyclists,Number,67
7828,All Killed and Injured Casualties,2010,35 - 44 years,Male,All Car users,Number,406
7829,All Killed and Injured Casualties,2010,35 - 44 years,Male,Car drivers,Number,314
7830,All Killed and Injured Casualties,2010,35 - 44 years,Male,Car passengers,Number,92
7831,All Killed and Injured Casualties,2010,35 - 44 years,Male,Other road users,Number,126
7833,All Killed and Injured Casualties,2010,35 - 44 years,Female,Pedestrians,Number,36
7834,All Killed and Injured Casualties,2010,35 - 44 years,Female,Pedal cyclists,Number,18
7835,All Killed and Injured Casualties,2010,35 - 44 years,Female,Motor cyclists,Number,6
7836,All Killed and Injured Casualties,2010,35 - 44 years,Female,All Car users,Number,462
7837,All Killed and Injured Casualties,2010,35 - 44 years,Female,Car drivers,Number,366
7838,All Killed and Injured Casualties,2010,35 - 44 years,Female,Car passengers,Number,96
7839,All Killed and Injured Casualties,2010,35 - 44 years,Female,Other road users,Number,21
7841,All Killed and Injured Casualties,2010,45 - 54 years,Male,Pedestrians,Number,46
7842,All Killed and Injured Casualties,2010,45 - 54 years,Male,Pedal cyclists,Number,43
7843,All Killed and Injured Casualties,2010,45 - 54 years,Male,Motor cyclists,Number,42
7844,All Killed and Injured Casualties,2010,45 - 54 years,Male,All Car users,Number,259
7845,All Killed and Injured Casualties,2010,45 - 54 years,Male,Car drivers,Number,202
7846,All Killed and Injured Casualties,2010,45 - 54 years,Male,Car passengers,Number,57
7847,All Killed and Injured Casualties,2010,45 - 54 years,Male,Other road users,Number,72
7849,All Killed and Injured Casualties,2010,45 - 54 years,Female,Pedestrians,Number,30
7850,All Killed and Injured Casualties,2010,45 - 54 years,Female,Pedal cyclists,Number,9
7851,All Killed and Injured Casualties,2010,45 - 54 years,Female,Motor cyclists,Number,4
7852,All Killed and Injured Casualties,2010,45 - 54 years,Female,All Car users,Number,331
7853,All Killed and Injured Casualties,2010,45 - 54 years,Female,Car drivers,Number,228
7854,All Killed and Injured Casualties,2010,45 - 54 years,Female,Car passengers,Number,103
7855,All Killed and Injured Casualties,2010,45 - 54 years,Female,Other road users,Number,17
7857,All Killed and Injured Casualties,2010,55 - 64 years,Male,Pedestrians,Number,47
7858,All Killed and Injured Casualties,2010,55 - 64 years,Male,Pedal cyclists,Number,26
7859,All Killed and Injured Casualties,2010,55 - 64 years,Male,Motor cyclists,Number,20
7860,All Killed and Injured Casualties,2010,55 - 64 years,Male,All Car users,Number,168
7861,All Killed and Injured Casualties,2010,55 - 64 years,Male,Car drivers,Number,135
7862,All Killed and Injured Casualties,2010,55 - 64 years,Male,Car passengers,Number,33
7863,All Killed and Injured Casualties,2010,55 - 64 years,Male,Other road users,Number,50
7865,All Killed and Injured Casualties,2010,55 - 64 years,Female,Pedestrians,Number,48
7866,All Killed and Injured Casualties,2010,55 - 64 years,Female,Pedal cyclists,Number,7
7867,All Killed and Injured Casualties,2010,55 - 64 years,Female,Motor cyclists,Number,0
7868,All Killed and Injured Casualties,2010,55 - 64 years,Female,All Car users,Number,233
7869,All Killed and Injured Casualties,2010,55 - 64 years,Female,Car drivers,Number,140
7870,All Killed and Injured Casualties,2010,55 - 64 years,Female,Car passengers,Number,93
7871,All Killed and Injured Casualties,2010,55 - 64 years,Female,Other road users,Number,10
7873,All Killed and Injured Casualties,2010,65 years and over,Male,Pedestrians,Number,46
7874,All Killed and Injured Casualties,2010,65 years and over,Male,Pedal cyclists,Number,17
7875,All Killed and Injured Casualties,2010,65 years and over,Male,Motor cyclists,Number,4
7876,All Killed and Injured Casualties,2010,65 years and over,Male,All Car users,Number,216
7877,All Killed and Injured Casualties,2010,65 years and over,Male,Car drivers,Number,186
7878,All Killed and Injured Casualties,2010,65 years and over,Male,Car passengers,Number,30
7879,All Killed and Injured Casualties,2010,65 years and over,Male,Other road users,Number,17
7881,All Killed and Injured Casualties,2010,65 years and over,Female,Pedestrians,Number,56
7882,All Killed and Injured Casualties,2010,65 years and over,Female,Pedal cyclists,Number,0
7883,All Killed and Injured Casualties,2010,65 years and over,Female,Motor cyclists,Number,0
7884,All Killed and Injured Casualties,2010,65 years and over,Female,All Car users,Number,212
7885,All Killed and Injured Casualties,2010,65 years and over,Female,Car drivers,Number,115
7886,All Killed and Injured Casualties,2010,65 years and over,Female,Car passengers,Number,97
7887,All Killed and Injured Casualties,2010,65 years and over,Female,Other road users,Number,6
7921,All Killed and Injured Casualties,2011,0 - 5 years,Male,Pedestrians,Number,39
7922,All Killed and Injured Casualties,2011,0 - 5 years,Male,Pedal cyclists,Number,4
7923,All Killed and Injured Casualties,2011,0 - 5 years,Male,Motor cyclists,Number,0
7924,All Killed and Injured Casualties,2011,0 - 5 years,Male,All Car users,Number,55
7925,All Killed and Injured Casualties,2011,0 - 5 years,Male,Car drivers,Number,0
7926,All Killed and Injured Casualties,2011,0 - 5 years,Male,Car passengers,Number,55
7927,All Killed and Injured Casualties,2011,0 - 5 years,Male,Other road users,Number,2
7929,All Killed and Injured Casualties,2011,0 - 5 years,Female,Pedestrians,Number,24
7930,All Killed and Injured Casualties,2011,0 - 5 years,Female,Pedal cyclists,Number,0
7931,All Killed and Injured Casualties,2011,0 - 5 years,Female,Motor cyclists,Number,0
7932,All Killed and Injured Casualties,2011,0 - 5 years,Female,All Car users,Number,69
7933,All Killed and Injured Casualties,2011,0 - 5 years,Female,Car drivers,Number,0
7934,All Killed and Injured Casualties,2011,0 - 5 years,Female,Car passengers,Number,69
7935,All Killed and Injured Casualties,2011,0 - 5 years,Female,Other road users,Number,0
7937,All Killed and Injured Casualties,2011,6 - 9 years,Male,Pedestrians,Number,46
7938,All Killed and Injured Casualties,2011,6 - 9 years,Male,Pedal cyclists,Number,19
7939,All Killed and Injured Casualties,2011,6 - 9 years,Male,Motor cyclists,Number,0
7940,All Killed and Injured Casualties,2011,6 - 9 years,Male,All Car users,Number,40
7941,All Killed and Injured Casualties,2011,6 - 9 years,Male,Car drivers,Number,0
7942,All Killed and Injured Casualties,2011,6 - 9 years,Male,Car passengers,Number,40
7943,All Killed and Injured Casualties,2011,6 - 9 years,Male,Other road users,Number,8
7945,All Killed and Injured Casualties,2011,6 - 9 years,Female,Pedestrians,Number,23
7946,All Killed and Injured Casualties,2011,6 - 9 years,Female,Pedal cyclists,Number,2
7947,All Killed and Injured Casualties,2011,6 - 9 years,Female,Motor cyclists,Number,0
7948,All Killed and Injured Casualties,2011,6 - 9 years,Female,All Car users,Number,49
7949,All Killed and Injured Casualties,2011,6 - 9 years,Female,Car drivers,Number,0
7950,All Killed and Injured Casualties,2011,6 - 9 years,Female,Car passengers,Number,49
7951,All Killed and Injured Casualties,2011,6 - 9 years,Female,Other road users,Number,0
7953,All Killed and Injured Casualties,2011,10 - 14 years,Male,Pedestrians,Number,52
7954,All Killed and Injured Casualties,2011,10 - 14 years,Male,Pedal cyclists,Number,25
