,Statistic,Year,Month of Year,UNIT,VALUE
687,Killed Casualties,2012,November,Number,8
688,Killed Casualties,2012,December,Number,12
690,Killed Casualties,2013,January,Number,19
691,Killed Casualties,2013,February,Number,14
692,Killed Casualties,2013,March,Number,15
693,Killed Casualties,2013,April,Number,12
694,Killed Casualties,2013,May,Number,17
695,Killed Casualties,2013,June,Number,13
696,Killed Casualties,2013,July,Number,18
697,Killed Casualties,2013,August,Number,19
698,Killed Casualties,2013,September,Number,17
699,Killed Casualties,2013,October,Number,13
700,Killed Casualties,2013,November,Number,15
701,Killed Casualties,2013,December,Number,16
703,Killed Casualties,2014,January,Number,16
704,Killed Casualties,2014,February,Number,13
705,Killed Casualties,2014,March,Number,15
706,Killed Casualties,2014,April,Number,14
707,Killed Casualties,2014,May,Number,18
708,Killed Casualties,2014,June,Number,18
709,Killed Casualties,2014,July,Number,18
710,Killed Casualties,2014,August,Number,15
711,Killed Casualties,2014,September,Number,11
712,Killed Casualties,2014,October,Number,17
713,Killed Casualties,2014,November,Number,20
714,Killed Casualties,2014,December,Number,17
716,Killed Casualties,2015,January,Number,12
717,Killed Casualties,2015,February,Number,13
718,Killed Casualties,2015,March,Number,11
719,Killed Casualties,2015,April,Number,7
720,Killed Casualties,2015,May,Number,12
721,Killed Casualties,2015,June,Number,13
722,Killed Casualties,2015,July,Number,19
723,Killed Casualties,2015,August,Number,14
724,Killed Casualties,2015,September,Number,16
725,Killed Casualties,2015,October,Number,11
726,Killed Casualties,2015,November,Number,14
727,Killed Casualties,2015,December,Number,20
729,Killed Casualties,2016,January,Number,15
730,Killed Casualties,2016,February,Number,10
731,Killed Casualties,2016,March,Number,17
732,Killed Casualties,2016,April,Number,14
733,Killed Casualties,2016,May,Number,20
734,Killed Casualties,2016,June,Number,12
735,Killed Casualties,2016,July,Number,21
736,Killed Casualties,2016,August,Number,13
737,Killed Casualties,2016,September,Number,18
738,Killed Casualties,2016,October,Number,20
739,Killed Casualties,2016,November,Number,9
740,Killed Casualties,2016,December,Number,17
742,Killed Casualties,2017,January,Number,16
743,Killed Casualties,2017,February,Number,11
744,Killed Casualties,2017,March,Number,20
745,Killed Casualties,2017,April,Number,7
746,Killed Casualties,2017,May,Number,8
747,Killed Casualties,2017,June,Number,14
748,Killed Casualties,2017,July,Number,16
749,Killed Casualties,2017,August,Number,10
750,Killed Casualties,2017,September,Number,13
751,Killed Casualties,2017,October,Number,11
752,Killed Casualties,2017,November,Number,14
753,Killed Casualties,2017,December,Number,16
755,Killed Casualties,2018,January,Number,12
756,Killed Casualties,2018,February,Number,10
757,Killed Casualties,2018,March,Number,14
758,Killed Casualties,2018,April,Number,17
759,Killed Casualties,2018,May,Number,4
760,Killed Casualties,2018,June,Number,16
761,Killed Casualties,2018,July,Number,8
762,Killed Casualties,2018,August,Number,12
763,Killed Casualties,2018,September,Number,10
764,Killed Casualties,2018,October,Number,9
765,Killed Casualties,2018,November,Number,12
766,Killed Casualties,2018,December,Number,15
768,Killed Casualties,2019,January,Number,14
769,Killed Casualties,2019,February,Number,14
770,Killed Casualties,2019,March,Number,11
771,Killed Casualties,2019,April,Number,9
772,Killed Casualties,2019,May,Number,11
773,Killed Casualties,2019,June,Number,11
774,Killed Casualties,2019,July,Number,8
775,Killed Casualties,2019,August,Number,8
776,Killed Casualties,2019,September,Number,18
777,Killed Casualties,2019,October,Number,10
778,Killed Casualties,2019,November,Number,11
779,Killed Casualties,2019,December,Number,15
781,Injured Casualties,2005,January,Number,683
782,Injured Casualties,2005,February,Number,591
783,Injured Casualties,2005,March,Number,718
784,Injured Casualties,2005,April,Number,726
785,Injured Casualties,2005,May,Number,800
786,Injured Casualties,2005,June,Number,752
787,Injured Casualties,2005,July,Number,886
788,Injured Casualties,2005,August,Number,876
789,Injured Casualties,2005,September,Number,826
790,Injured Casualties,2005,October,Number,892
791,Injured Casualties,2005,November,Number,826
792,Injured Casualties,2005,December,Number,742
794,Injured Casualties,2006,January,Number,723
795,Injured Casualties,2006,February,Number,547
796,Injured Casualties,2006,March,Number,633
797,Injured Casualties,2006,April,Number,602
798,Injured Casualties,2006,May,Number,709
799,Injured Casualties,2006,June,Number,674
800,Injured Casualties,2006,July,Number,762
801,Injured Casualties,2006,August,Number,767
802,Injured Casualties,2006,September,Number,746
803,Injured Casualties,2006,October,Number,797
804,Injured Casualties,2006,November,Number,750
805,Injured Casualties,2006,December,Number,865
807,Injured Casualties,2007,January,Number,639
808,Injured Casualties,2007,February,Number,564
809,Injured Casualties,2007,March,Number,666
810,Injured Casualties,2007,April,Number,565
811,Injured Casualties,2007,May,Number,625
812,Injured Casualties,2007,June,Number,693
813,Injured Casualties,2007,July,Number,721
814,Injured Casualties,2007,August,Number,741
815,Injured Casualties,2007,September,Number,657
816,Injured Casualties,2007,October,Number,654
817,Injured Casualties,2007,November,Number,661
818,Injured Casualties,2007,December,Number,620
820,Injured Casualties,2008,January,Number,818
821,Injured Casualties,2008,February,Number,845
822,Injured Casualties,2008,March,Number,808
823,Injured Casualties,2008,April,Number,783
824,Injured Casualties,2008,May,Number,919
825,Injured Casualties,2008,June,Number,794
826,Injured Casualties,2008,July,Number,770
827,Injured Casualties,2008,August,Number,757
828,Injured Casualties,2008,September,Number,778
829,Injured Casualties,2008,October,Number,815
830,Injured Casualties,2008,November,Number,833
831,Injured Casualties,2008,December,Number,838
833,Injured Casualties,2009,January,Number,812
834,Injured Casualties,2009,February,Number,588
835,Injured Casualties,2009,March,Number,755
836,Injured Casualties,2009,April,Number,809
837,Injured Casualties,2009,May,Number,827
838,Injured Casualties,2009,June,Number,763
839,Injured Casualties,2009,July,Number,976
840,Injured Casualties,2009,August,Number,879
841,Injured Casualties,2009,September,Number,812
842,Injured Casualties,2009,October,Number,856
843,Injured Casualties,2009,November,Number,878
844,Injured Casualties,2009,December,Number,787
846,Injured Casualties,2010,January,Number,571
847,Injured Casualties,2010,February,Number,622
848,Injured Casualties,2010,March,Number,686
849,Injured Casualties,2010,April,Number,687
850,Injured Casualties,2010,May,Number,755
851,Injured Casualties,2010,June,Number,669
852,Injured Casualties,2010,July,Number,755
853,Injured Casualties,2010,August,Number,747
854,Injured Casualties,2010,September,Number,801
855,Injured Casualties,2010,October,Number,853
856,Injured Casualties,2010,November,Number,717
857,Injured Casualties,2010,December,Number,407
859,Injured Casualties,2011,January,Number,548
860,Injured Casualties,2011,February,Number,540
861,Injured Casualties,2011,March,Number,563
862,Injured Casualties,2011,April,Number,547
863,Injured Casualties,2011,May,Number,527
864,Injured Casualties,2011,June,Number,646
865,Injured Casualties,2011,July,Number,686
866,Injured Casualties,2011,August,Number,684
867,Injured Casualties,2011,September,Number,639
868,Injured Casualties,2011,October,Number,659
869,Injured Casualties,2011,November,Number,655
870,Injured Casualties,2011,December,Number,541
872,Injured Casualties,2012,January,Number,642
873,Injured Casualties,2012,February,Number,596
874,Injured Casualties,2012,March,Number,707
875,Injured Casualties,2012,April,Number,694
876,Injured Casualties,2012,May,Number,630
877,Injured Casualties,2012,June,Number,682
878,Injured Casualties,2012,July,Number,679
879,Injured Casualties,2012,August,Number,670
880,Injured Casualties,2012,September,Number,639
881,Injured Casualties,2012,October,Number,718
882,Injured Casualties,2012,November,Number,670
883,Injured Casualties,2012,December,Number,615
885,Injured Casualties,2013,January,Number,623
886,Injured Casualties,2013,February,Number,491
887,Injured Casualties,2013,March,Number,523
888,Injured Casualties,2013,April,Number,452
889,Injured Casualties,2013,May,Number,533
890,Injured Casualties,2013,June,Number,587
891,Injured Casualties,2013,July,Number,677
892,Injured Casualties,2013,August,Number,600
893,Injured Casualties,2013,September,Number,601
894,Injured Casualties,2013,October,Number,635
895,Injured Casualties,2013,November,Number,560
896,Injured Casualties,2013,December,Number,598
898,Injured Casualties,2014,January,Number,636
899,Injured Casualties,2014,February,Number,577
900,Injured Casualties,2014,March,Number,575
901,Injured Casualties,2014,April,Number,642
902,Injured Casualties,2014,May,Number,653
903,Injured Casualties,2014,June,Number,680
904,Injured Casualties,2014,July,Number,685
905,Injured Casualties,2014,August,Number,741
906,Injured Casualties,2014,September,Number,681
907,Injured Casualties,2014,October,Number,726
908,Injured Casualties,2014,November,Number,791
909,Injured Casualties,2014,December,Number,692
911,Injured Casualties,2015,January,Number,678
912,Injured Casualties,2015,February,Number,556
913,Injured Casualties,2015,March,Number,643
914,Injured Casualties,2015,April,Number,535
915,Injured Casualties,2015,May,Number,690
916,Injured Casualties,2015,June,Number,646
917,Injured Casualties,2015,July,Number,667
918,Injured Casualties,2015,August,Number,676
919,Injured Casualties,2015,September,Number,689
920,Injured Casualties,2015,October,Number,665
921,Injured Casualties,2015,November,Number,668
922,Injured Casualties,2015,December,Number,727
924,Injured Casualties,2016,January,Number,696
925,Injured Casualties,2016,February,Number,610
926,Injured Casualties,2016,March,Number,597
927,Injured Casualties,2016,April,Number,530
928,Injured Casualties,2016,May,Number,622
929,Injured Casualties,2016,June,Number,642
930,Injured Casualties,2016,July,Number,722
931,Injured Casualties,2016,August,Number,626
932,Injured Casualties,2016,September,Number,720
933,Injured Casualties,2016,October,Number,618
934,Injured Casualties,2016,November,Number,650
935,Injured Casualties,2016,December,Number,677
937,Injured Casualties,2017,January,Number,576
938,Injured Casualties,2017,February,Number,522
939,Injured Casualties,2017,March,Number,672
940,Injured Casualties,2017,April,Number,536
941,Injured Casualties,2017,May,Number,704
942,Injured Casualties,2017,June,Number,623
943,Injured Casualties,2017,July,Number,655
944,Injured Casualties,2017,August,Number,635
945,Injured Casualties,2017,September,Number,698
946,Injured Casualties,2017,October,Number,636
947,Injured Casualties,2017,November,Number,805
948,Injured Casualties,2017,December,Number,716
950,Injured Casualties,2018,January,Number,598
951,Injured Casualties,2018,February,Number,575
952,Injured Casualties,2018,March,Number,595
953,Injured Casualties,2018,April,Number,602
954,Injured Casualties,2018,May,Number,733
955,Injured Casualties,2018,June,Number,706
956,Injured Casualties,2018,July,Number,730
957,Injured Casualties,2018,August,Number,634
958,Injured Casualties,2018,September,Number,685
959,Injured Casualties,2018,October,Number,723
960,Injured Casualties,2018,November,Number,725
961,Injured Casualties,2018,December,Number,705
963,Injured Casualties,2019,January,Number,625
964,Injured Casualties,2019,February,Number,506
965,Injured Casualties,2019,March,Number,644
966,Injured Casualties,2019,April,Number,526
967,Injured Casualties,2019,May,Number,616
968,Injured Casualties,2019,June,Number,647
969,Injured Casualties,2019,July,Number,680
970,Injured Casualties,2019,August,Number,653
971,Injured Casualties,2019,September,Number,719
972,Injured Casualties,2019,October,Number,679
973,Injured Casualties,2019,November,Number,691
974,Injured Casualties,2019,December,Number,593
976,All Killed and Injured Casualties,2005,January,Number,716
977,All Killed and Injured Casualties,2005,February,Number,628
978,All Killed and Injured Casualties,2005,March,Number,744
979,All Killed and Injured Casualties,2005,April,Number,749
980,All Killed and Injured Casualties,2005,May,Number,841
981,All Killed and Injured Casualties,2005,June,Number,774
982,All Killed and Injured Casualties,2005,July,Number,927
983,All Killed and Injured Casualties,2005,August,Number,900
984,All Killed and Injured Casualties,2005,September,Number,857
985,All Killed and Injured Casualties,2005,October,Number,936
986,All Killed and Injured Casualties,2005,November,Number,860
987,All Killed and Injured Casualties,2005,December,Number,782
989,All Killed and Injured Casualties,2006,January,Number,763
990,All Killed and Injured Casualties,2006,February,Number,578
991,All Killed and Injured Casualties,2006,March,Number,660
992,All Killed and Injured Casualties,2006,April,Number,639
993,All Killed and Injured Casualties,2006,May,Number,739
994,All Killed and Injured Casualties,2006,June,Number,706
995,All Killed and Injured Casualties,2006,July,Number,800
996,All Killed and Injured Casualties,2006,August,Number,784
997,All Killed and Injured Casualties,2006,September,Number,769
998,All Killed and Injured Casualties,2006,October,Number,829
999,All Killed and Injured Casualties,2006,November,Number,777
1000,All Killed and Injured Casualties,2006,December,Number,896
1002,All Killed and Injured Casualties,2007,January,Number,661
1003,All Killed and Injured Casualties,2007,February,Number,589
1004,All Killed and Injured Casualties,2007,March,Number,700
1005,All Killed and Injured Casualties,2007,April,Number,595
1006,All Killed and Injured Casualties,2007,May,Number,649
1007,All Killed and Injured Casualties,2007,June,Number,722
1008,All Killed and Injured Casualties,2007,July,Number,752
1009,All Killed and Injured Casualties,2007,August,Number,769
1010,All Killed and Injured Casualties,2007,September,Number,685
1011,All Killed and Injured Casualties,2007,October,Number,680
1012,All Killed and Injured Casualties,2007,November,Number,684
1013,All Killed and Injured Casualties,2007,December,Number,658
1015,All Killed and Injured Casualties,2008,January,Number,843
1016,All Killed and Injured Casualties,2008,February,Number,877
1017,All Killed and Injured Casualties,2008,March,Number,828
1018,All Killed and Injured Casualties,2008,April,Number,802
1019,All Killed and Injured Casualties,2008,May,Number,938
1020,All Killed and Injured Casualties,2008,June,Number,822
1021,All Killed and Injured Casualties,2008,July,Number,796
1022,All Killed and Injured Casualties,2008,August,Number,785
1023,All Killed and Injured Casualties,2008,September,Number,797
1024,All Killed and Injured Casualties,2008,October,Number,837
1025,All Killed and Injured Casualties,2008,November,Number,855
1026,All Killed and Injured Casualties,2008,December,Number,857
1028,All Killed and Injured Casualties,2009,January,Number,830
1029,All Killed and Injured Casualties,2009,February,Number,603
1030,All Killed and Injured Casualties,2009,March,Number,779
1031,All Killed and Injured Casualties,2009,April,Number,829
1032,All Killed and Injured Casualties,2009,May,Number,855
1033,All Killed and Injured Casualties,2009,June,Number,778
1034,All Killed and Injured Casualties,2009,July,Number,995
1035,All Killed and Injured Casualties,2009,August,Number,899
1036,All Killed and Injured Casualties,2009,September,Number,826
1037,All Killed and Injured Casualties,2009,October,Number,878
1038,All Killed and Injured Casualties,2009,November,Number,903
1039,All Killed and Injured Casualties,2009,December,Number,805
1041,All Killed and Injured Casualties,2010,January,Number,586
1042,All Killed and Injured Casualties,2010,February,Number,636
1043,All Killed and Injured Casualties,2010,March,Number,698
1044,All Killed and Injured Casualties,2010,April,Number,706
1045,All Killed and Injured Casualties,2010,May,Number,783
1046,All Killed and Injured Casualties,2010,June,Number,680
1047,All Killed and Injured Casualties,2010,July,Number,776
1048,All Killed and Injured Casualties,2010,August,Number,766
1049,All Killed and Injured Casualties,2010,September,Number,814
1050,All Killed and Injured Casualties,2010,October,Number,889
1051,All Killed and Injured Casualties,2010,November,Number,731
1052,All Killed and Injured Casualties,2010,December,Number,417
1054,All Killed and Injured Casualties,2011,January,Number,569
1055,All Killed and Injured Casualties,2011,February,Number,558
1056,All Killed and Injured Casualties,2011,March,Number,578
1057,All Killed and Injured Casualties,2011,April,Number,555
1058,All Killed and Injured Casualties,2011,May,Number,538
1059,All Killed and Injured Casualties,2011,June,Number,661
1060,All Killed and Injured Casualties,2011,July,Number,704
1061,All Killed and Injured Casualties,2011,August,Number,700
1062,All Killed and Injured Casualties,2011,September,Number,652
1063,All Killed and Injured Casualties,2011,October,Number,674
1064,All Killed and Injured Casualties,2011,November,Number,673
1065,All Killed and Injured Casualties,2011,December,Number,559
1067,All Killed and Injured Casualties,2012,January,Number,652
1068,All Killed and Injured Casualties,2012,February,Number,609
1069,All Killed and Injured Casualties,2012,March,Number,719
1070,All Killed and Injured Casualties,2012,April,Number,710
1071,All Killed and Injured Casualties,2012,May,Number,643
1072,All Killed and Injured Casualties,2012,June,Number,708
1073,All Killed and Injured Casualties,2012,July,Number,694
1074,All Killed and Injured Casualties,2012,August,Number,682
1075,All Killed and Injured Casualties,2012,September,Number,649
1076,All Killed and Injured Casualties,2012,October,Number,733
1077,All Killed and Injured Casualties,2012,November,Number,678
1078,All Killed and Injured Casualties,2012,December,Number,627
1080,All Killed and Injured Casualties,2013,January,Number,642
1081,All Killed and Injured Casualties,2013,February,Number,505
1082,All Killed and Injured Casualties,2013,March,Number,538
1083,All Killed and Injured Casualties,2013,April,Number,464
1084,All Killed and Injured Casualties,2013,May,Number,550
1085,All Killed and Injured Casualties,2013,June,Number,600
1086,All Killed and Injured Casualties,2013,July,Number,695
1087,All Killed and Injured Casualties,2013,August,Number,619
1088,All Killed and Injured Casualties,2013,September,Number,618
1089,All Killed and Injured Casualties,2013,October,Number,648
1090,All Killed and Injured Casualties,2013,November,Number,575
1091,All Killed and Injured Casualties,2013,December,Number,614
1093,All Killed and Injured Casualties,2014,January,Number,652
1094,All Killed and Injured Casualties,2014,February,Number,590
1095,All Killed and Injured Casualties,2014,March,Number,590
1096,All Killed and Injured Casualties,2014,April,Number,656
1097,All Killed and Injured Casualties,2014,May,Number,671
1098,All Killed and Injured Casualties,2014,June,Number,698
1099,All Killed and Injured Casualties,2014,July,Number,703
1100,All Killed and Injured Casualties,2014,August,Number,756
1101,All Killed and Injured Casualties,2014,September,Number,692
1102,All Killed and Injured Casualties,2014,October,Number,743
1103,All Killed and Injured Casualties,2014,November,Number,811
1104,All Killed and Injured Casualties,2014,December,Number,709
1106,All Killed and Injured Casualties,2015,January,Number,690
1107,All Killed and Injured Casualties,2015,February,Number,569
1108,All Killed and Injured Casualties,2015,March,Number,654
1109,All Killed and Injured Casualties,2015,April,Number,542
1110,All Killed and Injured Casualties,2015,May,Number,702
1111,All Killed and Injured Casualties,2015,June,Number,659
1112,All Killed and Injured Casualties,2015,July,Number,686
1113,All Killed and Injured Casualties,2015,August,Number,690
1114,All Killed and Injured Casualties,2015,September,Number,705
1115,All Killed and Injured Casualties,2015,October,Number,676
1116,All Killed and Injured Casualties,2015,November,Number,682
1117,All Killed and Injured Casualties,2015,December,Number,747
1119,All Killed and Injured Casualties,2016,January,Number,711
1120,All Killed and Injured Casualties,2016,February,Number,620
1121,All Killed and Injured Casualties,2016,March,Number,614
1122,All Killed and Injured Casualties,2016,April,Number,544
1123,All Killed and Injured Casualties,2016,May,Number,642
1124,All Killed and Injured Casualties,2016,June,Number,654
1125,All Killed and Injured Casualties,2016,July,Number,743
1126,All Killed and Injured Casualties,2016,August,Number,639
1127,All Killed and Injured Casualties,2016,September,Number,738
1128,All Killed and Injured Casualties,2016,October,Number,638
1129,All Killed and Injured Casualties,2016,November,Number,659
1130,All Killed and Injured Casualties,2016,December,Number,694
1132,All Killed and Injured Casualties,2017,January,Number,592
1133,All Killed and Injured Casualties,2017,February,Number,533
1134,All Killed and Injured Casualties,2017,March,Number,692
1135,All Killed and Injured Casualties,2017,April,Number,543
1136,All Killed and Injured Casualties,2017,May,Number,712
1137,All Killed and Injured Casualties,2017,June,Number,637
1138,All Killed and Injured Casualties,2017,July,Number,671
1139,All Killed and Injured Casualties,2017,August,Number,645
1140,All Killed and Injured Casualties,2017,September,Number,711
1141,All Killed and Injured Casualties,2017,October,Number,647
1142,All Killed and Injured Casualties,2017,November,Number,819
1143,All Killed and Injured Casualties,2017,December,Number,732
1145,All Killed and Injured Casualties,2018,January,Number,610
1146,All Killed and Injured Casualties,2018,February,Number,585
1147,All Killed and Injured Casualties,2018,March,Number,609
1148,All Killed and Injured Casualties,2018,April,Number,619
1149,All Killed and Injured Casualties,2018,May,Number,737
1150,All Killed and Injured Casualties,2018,June,Number,722
1151,All Killed and Injured Casualties,2018,July,Number,738
1152,All Killed and Injured Casualties,2018,August,Number,646
1153,All Killed and Injured Casualties,2018,September,Number,695
1154,All Killed and Injured Casualties,2018,October,Number,732
1155,All Killed and Injured Casualties,2018,November,Number,737
1156,All Killed and Injured Casualties,2018,December,Number,720
1158,All Killed and Injured Casualties,2019,January,Number,639
1159,All Killed and Injured Casualties,2019,February,Number,520
1160,All Killed and Injured Casualties,2019,March,Number,655
1161,All Killed and Injured Casualties,2019,April,Number,535
1162,All Killed and Injured Casualties,2019,May,Number,627
1163,All Killed and Injured Casualties,2019,June,Number,658
1164,All Killed and Injured Casualties,2019,July,Number,688
1165,All Killed and Injured Casualties,2019,August,Number,661
1166,All Killed and Injured Casualties,2019,September,Number,737
1167,All Killed and Injured Casualties,2019,October,Number,689
1168,All Killed and Injured Casualties,2019,November,Number,702
1169,All Killed and Injured Casualties,2019,December,Number,608
